probe	class
AKR1B10	Epi
VAV3	Epi
SPAG1	Epi
ABCC3	Epi
SYNGR2	Epi
STAP2	Epi
C4orf19	Epi
PPL	Epi
PLLP	Epi
DSG2	Epi
HDHD3	Epi
CD2AP	Epi
MANSC1	Epi
DHCR24	Epi
EPN3	Epi
TUFT1	Epi
GMDS	Epi
EXPH5	Epi
DSP	Epi
SDC4	Epi
IL20RA	Epi
FAM174B	Epi
PTPRF	Epi
SORD	Epi
GAS1	Mes
CXCL12	Mes
ZEB1	Mes
GLYR1	Mes
FHL1	Mes
FERMT2	Mes
C1S	Mes
FYN	Mes
WIPF1	Mes
CYP1B1	Mes
SERPING1	Mes
SERPINF1	Mes
VCAM1	Mes
MAP1B	Mes
TCF4	Mes
SRPX	Mes
EMP3	Mes
DPT	Mes
CALD1	Mes
PTGIS	Mes
VIM	Mes
CD163	Mes
C1R	Mes
FBN1	Mes
FN1	Mes
FXYD6	Mes
IGF1	Mes
NAP1L3	Mes
MRC1	Mes
QKI	Mes
MS4A4A	Mes
DCN	Mes
LOX	Mes
RECK	Mes
ANK2	Mes
LY96	Mes
ZFPM2	Mes
CSRP2	Mes
EFEMP1	Mes
RARRES2	Mes
PTPRC	Mes
PLEKHO1	Mes
RGS2	Mes
F13A1	Mes
JAM2	Mes
CHRDL1	Mes
TUBA1A	Mes
AP1S2	Mes
MYLK	Mes
DDR2	Mes
DSE	Mes
SACS	Mes
GLIPR1	Mes
CXCL13	Mes
FLRT2	Mes
PTX3	Mes
AKT3	Mes
COL6A2	Mes
DPYSL3	Mes
CDH11	Mes
PDZRN3	Mes
ZEB2	Mes
CCL2	Mes
MAFB	Mes
SFRP1	Mes
C14orf139	Mes
MFAP4	Mes
MAF	Mes
UCHL1	Mes
TUBB6	Mes
SRGN	Mes
HEG1	Mes
KCNJ8	Mes
AKAP12	Mes
EVI2A	Mes
COL14A1	Mes
AXL	Mes
ECM2	Mes
FSTL1	Mes
PLN	Mes
MYL9	Mes
OLFML3	Mes
STON1	Mes
SLIT2	Mes
BICC1	Mes
SOBP	Mes
CLIC4	Mes
ENPP2	Mes
SAMSN1	Mes
TPM2	Mes
ASPN	Mes
COL6A1	Mes
IGFBP5	Mes
MOXD1	Mes
AKAP2	Mes
SLC2A3	Mes
OLFML2B	Mes
ANGPTL2	Mes
PCOLCE	Mes
COLEC12	Mes
CTSK	Mes
TAGLN	Mes
CDH2	Mes
IL10RA	Mes
C1orf54	Mes
CEP170	Mes
TNS1	Mes
CLEC2B	Mes
JAM3	Mes
6-Sep	Mes
GREM1	Mes
VCAN	Mes
ZCCHC24	Mes
CRYAB	Mes
SFRP4	Mes
RUNX1T1	Mes
FGL2	Mes
MS4A6A	Mes
PTRF	Mes
GIMAP4	Mes
TWIST1	Mes
GFPT2	Mes
LHFP	Mes
CXCR4	Mes
SPOCK1	Mes
SPARC	Mes
VSIG4	Mes
GPM6B	Mes
TRPC1	Mes
SNAI2	Mes
GUCY1B3	Mes
PLXNC1	Mes
SYT11	Mes
FLI1	Mes
MYH10	Mes
CSF2RB	Mes
TNC	Mes
PMP22	Mes
COL5A2	Mes
MMP2	Mes
GNG11	Mes
CAV1	Mes
CDK14	Mes
SDC2	Mes
PTGDS	Mes
NR3C1	Mes
SYNM	Mes
FAP	Mes
NUAK1	Mes
WWTR1	Mes
FBLN1	Mes
MPDZ	Mes
SYNE1	Mes
EFEMP2	Mes
GIMAP6	Mes
KIAA1462	Mes
CCL8	Mes
COL15A1	Mes
CHN1	Mes
CRISPLD2	Mes
PDGFC	Mes
GEM	Mes
ISLR	Mes
GZMK	Mes
SPARCL1	Mes
BNC2	Mes
BGN	Mes
MEOX2	Mes
ITM2A	Mes
IFFO1	Mes
